Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,59.68,98.4,95.17,96.77
734880,80.24,97.27,97.58,97.63
1204786,87.27,96.68,90.91,95.88
1669834,87.63,93.25,94.31,95.01
2124799,83.25,92.39,84.2,86.28
