Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,20,28.2,21,25.6
734880,20.2,25.5,21.1,24.81
1204786,21.5,26.4,22,24.24
1669834,21.35,27.31,22.4,24.42
2124799,22,27.72,23.6,24.71
