Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,27.74,27.63,22.76,25.48
734880,25.63,25.54,22.63,25.36
1204786,26.5,26.61,23,25.56
1669834,27.35,27.25,23.44,25.67
2124799,27.77,27.65,23.8,25.7
