Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,18.92,20.31,22.5,22.49
734880,20.19840655,21.58544011,23.18133045,22.57419471
1204786,22.13474666,22.73991682,23.7109785,22.43317043
1669834,23.29633695,23.36519873,24.11792655,22.37701941
2124799,24.16025538,23.86160782,24.48373919,22.40553706
