Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,35.48,66.19,1,2
734880,32.64838923,66.07509549,4,4
1204786,31.62586422,65.24254786,5,3
1669834,31.04417051,64.55434356,6,2
2124799,30.60396893,64.15839014,7,4
