Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,14.33333333,2910.333333,1,2
734880,35.33333333,8920.666667,4,4
1204786,478.6666667,15861.33333,5,3
1669834,527.3333333,22613.66667,6,2
2124799,529.3333333,29818.33333,7,4
