Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,1215222,229614,1,2
734880,3018332,539662,4,4
1204786,4989333,881969,5,3
1669834,6906068,1209295,6,2
2124799,8862389,1537619,7,4
