Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,4862,4616,5082.666667,4961
734880,15121.66667,14934,14696,14728.33333
1204786,26727.33333,26082,26394,25952.66667
1669834,39032.33333,37981.66667,38261.33333,37868.33333
2124799,50975.33333,50502,51063.33333,49655
