Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,98.15,97.15,1,2
734880,97.96,98.36,4,4
1204786,96.4,97.16,5,3
1669834,96.93,96.93,6,2
2124799,97.21,97.01,7,4
