Total,Hibernate 3NF RTPS,Hibernate 3NF WTPS,Hibernate 0NF RTPS,Hibernate 0NF WTPS,JDBC 3NF RTPS,JDBC 3NF WTPS,JDBC 0NF RTPS,JDBC 0NF WTPS
292571,0,0.63,0,0.38,0,3.11,0,4.9
734880,0,9.47,0,0.6,0.1,10.38,0,3.8
1204786,0.21,22.12,0,9.35,0,26.12,0,8.31
1669834,0.22,31.72,0,6.57,3.34,26.69,0,10.18
2124799,3.66,19.17,0.23,7.56,11.57,24.9,1.92,10.9
