Total,Hibernate 3NF RTPS,Hibernate 3NF WTPS,Hibernate 0NF RTPS,Hibernate 0NF WTPS,JDBC 3NF RTPS,JDBC 3NF WTPS,JDBC 0NF RTPS,JDBC 0NF WTPS
292571,0,0.8,0,0.51,0,0.75,0,0.5
734880,1.23,17.84,0,0.34,0,21.41,0,20.65
1204786,0.89,44.82,0,56.47,0,46.44,0,27.81
1669834,1.68,50.62,46.96,70.64,1.8,23.35,22.91,68.45
2124799,33.07,46.29,179.47,20.33,13.62,30.91,185.46,38.15
