Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,11.7,84.8,1.9,97.17
734880,55.3,97.45,4,98.23
1204786,71.1,97.92,5.9,96
1669834,94.2,97,5.9,91.24
2124799,92.4,96.55,9.8,94.06
