Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,4777.333333,3235,3566.333333,3365.666667
734880,10978,9589,9455,9403
1204786,19322.66667,17278.66667,17227,16896
1669834,28960,25155.66667,24476.66667,24987
2124799,39983.33333,35659.33333,36217.33333,34739.33333
