Total,Hibernate 3NF RTPS,Hibernate 3NF WTPS,Hibernate 0NF RTPS,Hibernate 0NF WTPS,JDBC 3NF RTPS,JDBC 3NF WTPS,JDBC 0NF RTPS,JDBC 0NF WTPS
292571,0,0,0,0.34,0,0,0,0.33
734880,0,1.03,0,1.89,0,0,0,1.63
1204786,0,1.54,0,7.91,0,0.76,0,8.68
1669834,0.26,0.26,1.57,2.22,0,1.01,0,3.48
2124799,2.54,0.51,1.82,2,0,2.26,0,1.26
