Total,Hibernate 3NF,Hibernate 0NF,JDBC 3NF,JDBC 0NF
292571,22.48,27.6,22,26.77
734880,19.63,24.73,22.3,25.38
1204786,21.47,25.66,22.69,24.89
1669834,23.06,26.61,23.12,24.71
2124799,23.48,26.81,23.6,24.55
